id,company,segment,Sales,profit,yoy_change,summary
6792d43d-9452-403b-a277-b964f849e6e5,明治ホールディングス.pd,食品セグメント,224800,13600,-0.50%,カカオ事業(+3.9%)やフードソリューション事業(+1.2%)は前年同期を上回った。デイリー事業(-0.5%)は前年同期並み、ニュートリション事業(-4.5%)は前年同期を下回った。営業利益は前年同期比+1.1%となり、デイリー事業(+23.7%)、カカオ事業(+37.2%)、フードソリューション事業(+10.1%)が大幅増益となった一方、ニュートリション事業(-25.5%)は大幅減益となった。
33085d4e-f810-4b37-a5c9-2c446a318224,明治ホールディングス.pd,医薬品セグメント,49000,4700,-7.30%,ワクチン・動物薬事業(+6.9%)は前年同期を上回ったが、国内事業(-3.0%)は前年同期を下回り、海外事業(-18.3%)は前年同期を大幅に下回った。営業利益は前年同期比-35.5%と大幅減益となり、国内事業(-28.4%)、海外事業(-26.1%)ともに減益、ワクチン・動物薬事業は営業損失が拡大した。
82515ae4-1429-44be-abec-5a690f052943,明治ホールディングス.pd,デイリー事業,66900,6000,-0.50%,国内では市販用ヨーグルトや中容量タイプの牛乳が好調だったが、宅配チャネルのプロバイオティクスや牛乳の不調により前年同期並みとなった。海外では中国の市販用牛乳・ヨーグルトが増収。営業利益は前年同期比+23.7%と大幅増益で、国内は宣伝費減少により増益、海外は中国事業のリバイバルプラン実行により赤字額が縮小した。
1993638b-6ef6-4a0c-b284-6459d7568a83,明治ホールディングス.pd,カカオ事業,38700,3100,3.90%,国内ではチョコレートが価格改定効果とチョコレートスナックの成長により増収、グミも新商品が好調で増収となった。海外は米国が好調も為替影響で減収。営業利益は前年同期比+37.2%と大幅増益で、国内は原材料コスト増加も価格改定効果で増益、海外は中国の原材料高騰影響で減益となった。
1af38aba-8a84-4092-9b6d-cf70ac5f7f30,明治ホールディングス.pd,ニュートリション事業,29100,3100,-4.50%,国内では乳幼児ミルクがインバウンド需要減少で減収、スポーツプロテイン「ザバス」の粉末タイプも減収。海外は台湾の乳幼児ミルクが増収。営業利益は前年同期比-25.5%と大幅減益で、国内は原材料コスト増加を価格改定でカバーするも乳幼児ミルク減収で減益、海外は前年同期の先行投資費用の反動で増益となった。
93544152-4e4f-485a-9ec9-c69e725bc74c,明治ホールディングス.pd,フードソリューション事業,48700,1700,1.20%,国内では業務用クリームやカカオが増収、チーズも主力の「明治北海道十勝カマンベールチーズ」が好調。海外では中国の業務用牛乳やフローズンデザートが減収。営業利益は前年同期比+10.1%と増益で、国内は業務用クリームやカカオの増収が寄与し増益、海外は中国のフローズンデザート減収で減益となった。
2f7b71f4-b888-43ad-88e0-54ce154ee647,明治ホールディングス.pd,国内医薬事業,27500,4300,-3.00%,抗菌薬は前期好調の反動と感染症流行の減少により減収、CNS領域の受託製品出荷時期ずれも影響。一方、2024年5月発売の選択的ROCK2阻害剤「レズロック錠」は大幅伸長、血痰分泌抑制剤も増収。営業利益は減収や薬価改定影響により前年同期比-28.4%と大幅減益となった。
c55ab9b8-bd7c-41e0-b52e-0451cc252d2e,明治ホールディングス.pd,海外医薬事業,15200,2200,-18.30%,為替影響に加え、インドやスペインの子会社が減収となり、前年同期比-18.3%と大幅減収。営業利益もインドやスペイン子会社の減益により前年同期比-26.1%と大幅減益となった。
98daf2aa-bb64-4d67-a94b-f15acf9bf677,明治ホールディングス.pd,ワクチン・動物薬事業,6200,1800,6.90%,5種混合ワクチン「クイントバック」の伸長により前年同期比+6.9%と増収。しかし営業利益はワクチン普及費用の増加などにより営業損失が拡大した。
d27800ad-68c0-459d-bda2-fc21f5abd54e,森永乳業.pd,食品,138073,11715,2.40%,国内事業では、ビバレッジ、ヨーグルトなどの価格改定を実施した一方で売上数量が減少。新たな製造設備を稼働開始させたアイス、底堅い需要が継続した業務用乳製品などが増収に寄与。海外事業ではMILEI GmbH(ミライ社)を中心に増収となった。原料価格や物流費、人件費などのコストアップの影響を受けたが、価格改定や高付加価値商品の拡大、コスト見直しにより対応。
0143ab17-1ee9-4ed0-91f0-7ab0fc52af70,森永乳業.pd,その他,5605,823,-4.10%,飼料、プラント設備の設計施工、不動産の賃貸などが含まれる。売上高は前年同期比で減少したが、営業利益は増加した。
fb6139d2-1ab0-447c-9e00-34e6f31b77df,森永乳業.pd,成長分野,32093,4031,5.00%,アイス、海外での菌体・育児用ミルクの販売が順調に推移。ヨーグルト全体は減収だが「パルテノ」は大幅に伸長。価格改定、菌体をはじめとする高付加価値商品の拡大によるプロダクトミックスの改善、コスト削減を進めたが、原材料価格の上昇やオペレーションコスト増加の影響、アイス新製造設備の稼働開始に伴う償却費増加により営業利益は前年差505百万円の減益。
56ff5d35-ed50-46bf-b429-e1b1483b8892,森永乳業.pd,基幹分野,90202,4479,0.70%,原材料価格の上昇やオペレーションコストの増加、ビバレッジ、チーズ、牛乳などの売上数量の減少があった一方で、価格改定や全体を通じたコスト抑制に取り組んだ。中核領域のMILEI GmbH（ミライ社）が前期下半期に続いて好調を維持したことが大きく貢献し、増収増益となった。
e96f9b4d-3cd3-44a5-8490-60be5ab52c5c,森永乳業.pd,育成・その他分野,21382,325,4.30%,育成領域に位置付けた、ベトナムのMorinaga Nutritional Foods Vietnam(MNFV)社およびECチャネルを通じた健康食品が堅調に推移したほか、独自事業会社の増益影響もあり、増収増益となった。
f0ca626e-f1a2-45f7-9453-2dd75e3f5aab,森永乳業.pd,海外事業,19558,2909,19.80%,ドイツのMILEI GmbH（ミライ社）が前期下半期に続いて好調を維持したほか、菌体、パキスタンのNutriCo Morinaga (NM社)も順調に推移。プロダクトミックスの改善、海外子会社の増益に加えて、のれん償却費の減少が影響し、大幅な増益となった。
37433393-2ea6-434d-80c4-b74312f3745c,雪印メグミルク.pd,乳製品,63973,1740,2.9%増,バターは価格改定と底堅い需要により前年を上回り、油脂もバター系商品を中心に好調に推移。一方、チーズは100周年記念商品の発売等で露出強化を図ったものの、価格改定の影響で販売数量が減少し減収。コストアップに対応した価格改定と各種プロモーション活動を推進したが、固定経費の増加等により営業利益は前年を下回った。
f5cad7ff-7438-4370-89d4-7a9f15da0a2c,雪印メグミルク.pd,飲料・デザート類,65515,644,2.1%減,飲料は「MBPドリンク」シリーズが好調だったものの、「すっきりCa鉄」や「DoubleL200ml」等が価格改定の影響で前年を下回り、全体でも減収。ヨーグルトは「牧場の朝ヨーグルト」や「恵megumi ガセリ菌SP株ヨーグルト」が好調で前年を上回った。デザートは「クリーム＆」シリーズや「アジア茶屋」シリーズが価格改定の影響で前年を下回った。営業利益は前年度の他社システムトラブルによる物量増の反動や固定経費増加により大幅減益。
76125d0a-8828-44a3-9fcb-ffec84daa0a1,雪印メグミルク.pd,飼料・種苗,13208,598,1.2%減,配合飼料の販売数量減による減収が主な要因となり、セグメント全体で前年を下回った。一方、営業利益は売上高が減少したものの、原価低減による粗利益増により前年同期比53.5%増の増益となった。
d15cb2f8-8162-49bc-ae9c-8dc5f9cd373f,雪印メグミルク.pd,その他,9698,456,2.3%減,共同配送センター事業、不動産賃貸事業等が含まれるセグメントで、売上高は前年同期比2.3%減、営業利益は前年同期比10.7%減となった。